WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.05776447810630004, constraint_losses.avg=0.1187828040967385
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04638433973262976, avg_test_CL_un_norm=0.04638557543267717, max_test_CL_un_norm=0.06515438854694366
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.46396294112379727, max_test_CL=0.5257558226585388
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.46396294112379727, max_test_CL_un_norm=0.5257558226585388
train epoch=8, loader_type='Both', approx_losses.avg=0.029686024019122122, constraint_losses.avg=0.09721950840950012
------------------------- test Main, avg_test_AL=0.04725845007913875, avg_test_CL=0.047259722175346956, max_test_CL=0.06593704223632812
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04725845007913875, avg_test_CL_un_norm=0.047259722175346956, max_test_CL_un_norm=0.06593704223632812
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4646778166353762, max_test_CL=0.5265437364578247
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4646778166353762, max_test_CL_un_norm=0.5265437364578247
train epoch=9, loader_type='Both', approx_losses.avg=0.030196200557549794, constraint_losses.avg=0.0974378265341123
------------------------- test Main, avg_test_AL=0.04637065853781856, avg_test_CL=0.04637202440114977, max_test_CL=0.06477885693311691
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04637065853781856, avg_test_CL_un_norm=0.04637202440114977, max_test_CL_un_norm=0.06477885693311691
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4615597951638925, max_test_CL=0.5226921439170837
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4615597951638925, max_test_CL_un_norm=0.5226921439170837
train epoch=10, loader_type='Both', approx_losses.avg=0.030365349624554318, constraint_losses.avg=0.09756198495229085
------------------------- test Main, avg_test_AL=0.04849813912656751, avg_test_CL=0.04849941196018929, max_test_CL=0.06718887388706207
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04849813912656751, avg_test_CL_un_norm=0.04849941196018929, max_test_CL_un_norm=0.06718887388706207
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4588529102884613, max_test_CL=0.5179970264434814
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4588529102884613, max_test_CL_un_norm=0.5179970264434814
train epoch=11, loader_type='Both', approx_losses.avg=0.030209415089090665, constraint_losses.avg=0.09668939108053844
------------------------- test Main, avg_test_AL=0.04882965173322457, avg_test_CL=0.048830926439746306, max_test_CL=0.067520871758461
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04882965173322457, avg_test_CL_un_norm=0.048830926439746306, max_test_CL_un_norm=0.067520871758461
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.44946118543396246, max_test_CL=0.5066287517547607
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.44946118543396246, max_test_CL_un_norm=0.5066287517547607
train epoch=12, loader_type='Both', approx_losses.avg=0.025174696294839184, constraint_losses.avg=0.09366178413232168
------------------------- test Main, avg_test_AL=0.04990245349932689, avg_test_CL=0.04990363090081854, max_test_CL=0.06883376836776733
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04990245349932689, avg_test_CL_un_norm=0.04990363090081854, max_test_CL_un_norm=0.06883376836776733
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4656824037745908, max_test_CL=0.5273320078849792
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4656824037745908, max_test_CL_un_norm=0.5273320078849792
train epoch=13, loader_type='Both', approx_losses.avg=0.03010798103113969, constraint_losses.avg=0.0971546675046285
------------------------- test Main, avg_test_AL=0.04896854564223114, avg_test_CL=0.048969838917404564, max_test_CL=0.0677175223827362
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04896854564223114, avg_test_CL_un_norm=0.048969838917404564, max_test_CL_un_norm=0.0677175223827362
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4603614954947232, max_test_CL=0.5200318098068237
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4603614954947232, max_test_CL_un_norm=0.5200318098068237
train epoch=14, loader_type='Both', approx_losses.avg=0.027511975400646527, constraint_losses.avg=0.09499684357245763
------------------------- test Main, avg_test_AL=0.048963131544341496, avg_test_CL=0.04896444315789967, max_test_CL=0.06776667386293411
