WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 500 and num of edges = 828
num of nodes = 500 and num of edges = 828
num of nodes = 500 and num of edges = 828
num of nodes = 500 and num of edges = 828
train epoch=0, loader_type='Both', approx_losses.avg=0.0471419504377991, constraint_losses.avg=0.02357284383631001
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.18981049421407348, max_test_CL_un_norm=1.5621458681777816
train epoch=8, loader_type='Both', approx_losses.avg=0.01344557020937403, constraint_losses.avg=0.006724175489383439
------------------------- test Main, avg_test_AL=0.04062652413930482, avg_test_CL=0.04062799810532306, max_test_CL=0.28638121485710144
------------------------- test un normalized Main, avg_test_AL_un_norm=4306.318843017626, avg_test_CL_un_norm=4306.522570083134, max_test_CL_un_norm=33058.542356905506
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7518556896902736e-06, max_test_CL=2.1039319108240306e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19129349955431088, max_test_CL_un_norm=3.010464375531678
train epoch=9, loader_type='Both', approx_losses.avg=0.01339991536916544, constraint_losses.avg=0.006701367753557861
------------------------- test Main, avg_test_AL=0.04077627791269333, avg_test_CL=0.04077801936959925, max_test_CL=0.2906874120235443
------------------------- test un normalized Main, avg_test_AL_un_norm=4313.433039901619, avg_test_CL_un_norm=4313.677399304769, max_test_CL_un_norm=32889.157785796335
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7655516720497625e-06, max_test_CL=1.130175769503694e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19024664864154855, max_test_CL_un_norm=1.4072200326718947
train epoch=10, loader_type='Both', approx_losses.avg=0.015233457358678182, constraint_losses.avg=0.007618132342444733
------------------------- test Main, avg_test_AL=0.044537038342066806, avg_test_CL=0.04453875143857294, max_test_CL=0.28611141443252563
------------------------- test un normalized Main, avg_test_AL_un_norm=4373.083677199749, avg_test_CL_un_norm=4373.322682985566, max_test_CL_un_norm=33012.69239644818
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.796536305274543e-06, max_test_CL=7.803617336321622e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.19274714106976717, max_test_CL_un_norm=0.8259470020734817
train epoch=11, loader_type='Both', approx_losses.avg=0.014231460095817845, constraint_losses.avg=0.007117127776052803
------------------------- test Main, avg_test_AL=0.04201928512678326, avg_test_CL=0.042020915930911236, max_test_CL=0.2987859845161438
------------------------- test un normalized Main, avg_test_AL_un_norm=4295.87473623053, avg_test_CL_un_norm=4296.100529677529, max_test_CL_un_norm=33620.734087386605
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7648253851435906e-06, max_test_CL=9.712277460494079e-06
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.1910409536000754, max_test_CL_un_norm=1.163107054863875
train epoch=12, loader_type='Both', approx_losses.avg=0.013958288490554938, constraint_losses.avg=0.0069805353873564555
------------------------- test Main, avg_test_AL=0.04187209848661587, avg_test_CL=0.0418736673613724, max_test_CL=0.28995901346206665
------------------------- test un normalized Main, avg_test_AL_un_norm=4442.603200642971, avg_test_CL_un_norm=4442.817787589625, max_test_CL_un_norm=33125.73560879741
------------------------- test Omega, avg_test_AL=0, avg_test_CL=1.7567471894324171e-06, max_test_CL=2.0733536075567827e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.1906239066628251, max_test_CL_un_norm=2.9557815568205292
