WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.15196910114356627, constraint_losses.avg=0.19049941411217053
train epoch=3, loader_type='Both', approx_losses.avg=0.018611445513616005, constraint_losses.avg=0.015208064037561416
------------------------- test Main, avg_test_AL=0.02312066132951683, avg_test_CL=0.02312246172265926, max_test_CL=0.08831875026226044
------------------------- test un normalized Main, avg_test_AL_un_norm=2253.2371397975276, avg_test_CL_un_norm=2253.456083960141, max_test_CL_un_norm=9507.857900728954
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.01283722019009292, max_test_CL=0.023707931861281395
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=1478.7546070463181, max_test_CL_un_norm=2688.902057422711
train epoch=4, loader_type='Both', approx_losses.avg=0.016260554123669863, constraint_losses.avg=0.015095257272819677
------------------------- test Main, avg_test_AL=0.01983494410753095, avg_test_CL=0.01983611698774621, max_test_CL=0.17556369304656982
------------------------- test un normalized Main, avg_test_AL_un_norm=2087.5830651624183, avg_test_CL_un_norm=2087.6981169932305, max_test_CL_un_norm=17800.212435868496
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.01691785639214019, max_test_CL=0.037818487733602524
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=1853.900658616502, max_test_CL_un_norm=4476.672798369026
train epoch=5, loader_type='Both', approx_losses.avg=0.008149280728710195, constraint_losses.avg=0.008419997764378786
------------------------- test Main, avg_test_AL=0.011979975141352043, avg_test_CL=0.011980671063259554, max_test_CL=0.03974573686718941
------------------------- test un normalized Main, avg_test_AL_un_norm=744.0058720047588, avg_test_CL_un_norm=744.0666657111533, max_test_CL_un_norm=4556.654176051158
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.005722843259495372, max_test_CL=0.015688106417655945
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=541.256828411818, max_test_CL_un_norm=1386.3253004160197
train epoch=6, loader_type='Both', approx_losses.avg=0.005726006007567048, constraint_losses.avg=0.004788216551889976
------------------------- test Main, avg_test_AL=0.01505347442207858, avg_test_CL=0.015054081329066927, max_test_CL=0.049566250294446945
------------------------- test un normalized Main, avg_test_AL_un_norm=585.6400816870562, avg_test_CL_un_norm=585.7070182514907, max_test_CL_un_norm=3275.1820553203324
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.006426834320494284, max_test_CL=0.01844116300344467
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=381.0281241658462, max_test_CL_un_norm=900.2253445053921
train epoch=7, loader_type='Both', approx_losses.avg=0.009000016366442045, constraint_losses.avg=0.00885057543516159
------------------------- test Main, avg_test_AL=0.015524379848580187, avg_test_CL=0.015526099743631979, max_test_CL=0.05098554491996765
------------------------- test un normalized Main, avg_test_AL_un_norm=1553.1777836426152, avg_test_CL_un_norm=1553.401899865853, max_test_CL_un_norm=5471.039173734848
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.010477693997168292, max_test_CL=0.01982465572655201
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=872.8935887187785, max_test_CL_un_norm=1325.4514829081315
train epoch=8, loader_type='Both', approx_losses.avg=0.016164896139502526, constraint_losses.avg=0.0178997777034839
------------------------- test Main, avg_test_AL=0.01917426604082963, avg_test_CL=0.019175258896895683, max_test_CL=0.06720051169395447
------------------------- test un normalized Main, avg_test_AL_un_norm=739.4492817279332, avg_test_CL_un_norm=739.5617378661718, max_test_CL_un_norm=3774.0363094010704
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.02870927926711738, max_test_CL=0.04971102997660637
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=2184.212382045368, max_test_CL_un_norm=3030.457676611526
train epoch=9, loader_type='Both', approx_losses.avg=0.008447558109927922, constraint_losses.avg=0.00811999873071909
