WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.11634689869399494, constraint_losses.avg=0.08625470948591828
train epoch=8, loader_type='Both', approx_losses.avg=0.010765225978071492, constraint_losses.avg=0.0063598618904749556
------------------------- test Main, avg_test_AL=0.010861679876223206, avg_test_CL=0.010862542614884054, max_test_CL=0.0729379653930664
------------------------- test un normalized Main, avg_test_AL_un_norm=671.7201497575658, avg_test_CL_un_norm=671.8204635630244, max_test_CL_un_norm=4736.031219822427
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00290735262275363, max_test_CL=0.005669564940035343
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=335.4811053158892, max_test_CL_un_norm=599.9670139883482
train epoch=9, loader_type='Both', approx_losses.avg=0.010244187346845865, constraint_losses.avg=0.006545772763341665
------------------------- test Main, avg_test_AL=0.007121644047418764, avg_test_CL=0.007122323254608394, max_test_CL=0.05849037319421768
------------------------- test un normalized Main, avg_test_AL_un_norm=619.6156295894017, avg_test_CL_un_norm=619.6966189488334, max_test_CL_un_norm=6413.823926545865
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.004987125207980474, max_test_CL=0.007966786623001099
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=621.3344294901955, max_test_CL_un_norm=863.7998306790975
train epoch=10, loader_type='Both', approx_losses.avg=0.007137618484751632, constraint_losses.avg=0.00486360034669439
------------------------- test Main, avg_test_AL=0.009104317879731146, avg_test_CL=0.009104575628608776, max_test_CL=0.09968237578868866
------------------------- test un normalized Main, avg_test_AL_un_norm=1025.2611051704823, avg_test_CL_un_norm=1025.3054946643663, max_test_CL_un_norm=12232.631066019247
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004647031143977074, max_test_CL=0.0021603507921099663
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=38.01548393734122, max_test_CL_un_norm=261.21769065584647
train epoch=11, loader_type='Both', approx_losses.avg=0.0041409874513434865, constraint_losses.avg=0.003104131560524305
------------------------- test Main, avg_test_AL=0.004033722999559055, avg_test_CL=0.004034048186384704, max_test_CL=0.04688046872615814
------------------------- test un normalized Main, avg_test_AL_un_norm=436.32466103427026, avg_test_CL_un_norm=436.3692510225434, max_test_CL_un_norm=6551.205363790335
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0017887446079403162, max_test_CL=0.003482209984213114
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=272.6351154033448, max_test_CL_un_norm=529.3919925319515
train epoch=12, loader_type='Both', approx_losses.avg=0.003835791117247815, constraint_losses.avg=0.0023598805215830606
------------------------- test Main, avg_test_AL=0.004558867846513143, avg_test_CL=0.0045595560266859445, max_test_CL=0.04524999111890793
