WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 2000 and num of edges = 3296
num of nodes = 2000 and num of edges = 3296
num of nodes = 2000 and num of edges = 3296
num of nodes = 2000 and num of edges = 3296
train epoch=0, loader_type='Both', approx_losses.avg=0.0003189904428251635, constraint_losses.avg=0.00015900690225045388
------------------------- test un normalized Main, avg_test_AL_un_norm=11.441342424670351, avg_test_CL_un_norm=6.522292913517385, max_test_CL_un_norm=395.64682584935656
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.83468270472709e-06, max_test_CL=5.342786607798189e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42517622783392073, max_test_CL_un_norm=3.8933151670713206
train epoch=5, loader_type='Both', approx_losses.avg=0.00019886190418129978, constraint_losses.avg=0.00010960247384343622
------------------------- test Main, avg_test_AL=0.00015705575941386528, avg_test_CL=8.944407419234235e-05, max_test_CL=0.005414792336523533
------------------------- test un normalized Main, avg_test_AL_un_norm=11.444731256546794, avg_test_CL_un_norm=6.517834137066233, max_test_CL_un_norm=394.578600599788
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.815777012579293e-06, max_test_CL=5.3306383051676676e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4237985606839081, max_test_CL_un_norm=3.8844625257666348
train epoch=6, loader_type='Both', approx_losses.avg=0.00019056111577545322, constraint_losses.avg=0.0001055188946622712
------------------------- test Main, avg_test_AL=0.00015695086383802037, avg_test_CL=8.940422070102106e-05, max_test_CL=0.005410109180957079
------------------------- test un normalized Main, avg_test_AL_un_norm=11.437087444558156, avg_test_CL_un_norm=6.514929959974123, max_test_CL_un_norm=394.2373290768812
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.819229200423326e-06, max_test_CL=5.3327272325986996e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42405012334419967, max_test_CL_un_norm=3.885984843192256
train epoch=7, loader_type='Both', approx_losses.avg=0.00017953502571144204, constraint_losses.avg=9.939298071133504e-05
------------------------- test Main, avg_test_AL=0.00015689054458720841, avg_test_CL=8.936564944842784e-05, max_test_CL=0.0054060849361121655
------------------------- test un normalized Main, avg_test_AL_un_norm=11.432691919829308, avg_test_CL_un_norm=6.512119263136433, max_test_CL_un_norm=393.9441069454315
------------------------- test Omega, avg_test_AL=0, avg_test_CL=5.815036888777048e-06, max_test_CL=5.330072599463165e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4237446271581326, max_test_CL_un_norm=3.8840502827883863
train epoch=8, loader_type='Both', approx_losses.avg=0.00016825073344969293, constraint_losses.avg=9.304849206495823e-05
