WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.013955671463368667, constraint_losses.avg=0.009419051650438517
------------------------- test un normalized Main, avg_test_AL_un_norm=40.82320010683229, avg_test_CL_un_norm=64.3904392273826, max_test_CL_un_norm=126.41152103788633
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0007959333142935066, max_test_CL=0.0012844568118453026
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=58.00005609801729, max_test_CL_un_norm=93.59900549342937
train epoch=32, loader_type='Both', approx_losses.avg=0.0005644519233566595, constraint_losses.avg=0.00047740630698685964
------------------------- test Main, avg_test_AL=0.0005297258385594006, avg_test_CL=0.0008431389398051983, max_test_CL=0.0016656254883855581
------------------------- test un normalized Main, avg_test_AL_un_norm=38.60138506455292, avg_test_CL_un_norm=61.43995352758806, max_test_CL_un_norm=121.37495619800382
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0008135022262431448, max_test_CL=0.0012744959676638246
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=59.28031147062644, max_test_CL_un_norm=92.87315031558522
train epoch=33, loader_type='Both', approx_losses.avg=0.0005811458681572052, constraint_losses.avg=0.0004900396188355184
------------------------- test Main, avg_test_AL=0.0005843357189724898, avg_test_CL=0.000914081525073522, max_test_CL=0.0017314022406935692
------------------------- test un normalized Main, avg_test_AL_un_norm=42.580834204967786, avg_test_CL_un_norm=66.60957490668076, max_test_CL_un_norm=126.16814087912803
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0008377277699619299, max_test_CL=0.0012964215129613876
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=61.04563893249091, max_test_CL_un_norm=94.47088372944845
train epoch=34, loader_type='Both', approx_losses.avg=0.0005773412315255781, constraint_losses.avg=0.000486429352341922
------------------------- test Main, avg_test_AL=0.0005790400261651279, avg_test_CL=0.0009067057639558414, max_test_CL=0.0016698413528501987
------------------------- test un normalized Main, avg_test_AL_un_norm=42.194934427190695, avg_test_CL_un_norm=66.07209958262865, max_test_CL_un_norm=121.68217157776945
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0008424048200831748, max_test_CL=0.0013016912853345275
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=61.386457851917996, max_test_CL_un_norm=94.8548942933802
train epoch=35, loader_type='Both', approx_losses.avg=0.000585630498945229, constraint_losses.avg=0.0004917236546364924
------------------------- test Main, avg_test_AL=0.0006144334216259813, avg_test_CL=0.0009516879564897494, max_test_CL=0.0016969621647149324
------------------------- test un normalized Main, avg_test_AL_un_norm=44.774068801034794, avg_test_CL_un_norm=69.34997423241946, max_test_CL_un_norm=123.65847557252846
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0008740190880198497, max_test_CL=0.0013498103944584727
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=63.690205259032716, max_test_CL_un_norm=98.36135821493791
train epoch=36, loader_type='Both', approx_losses.avg=0.0005901011170822636, constraint_losses.avg=0.0004939940939768262
------------------------- test Main, avg_test_AL=0.0006300731468849481, avg_test_CL=0.0009710332911766155, max_test_CL=0.0016894766595214605
------------------------- test un normalized Main, avg_test_AL_un_norm=45.913743273457605, avg_test_CL_un_norm=70.75967845993375, max_test_CL_un_norm=123.11300325196072
