WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.05476330533679575, constraint_losses.avg=0.05003169644077619
------------------------- test Main, avg_test_AL=0.020178929130706163, avg_test_CL=0.020177002596735088, max_test_CL=0.030882935971021652
------------------------- test un normalized Main, avg_test_AL_un_norm=0.020178929130706163, avg_test_CL_un_norm=0.020177002596735088, max_test_CL_un_norm=0.030882935971021652
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.02346804360598065, max_test_CL=0.03172051161527634
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.02346804360598065, max_test_CL_un_norm=0.03172051161527634
train epoch=19, loader_type='Both', approx_losses.avg=0.013564273401598135, constraint_losses.avg=0.011287791188061237
------------------------- test Main, avg_test_AL=0.020970453710847155, avg_test_CL=0.020968772283684392, max_test_CL=0.03252379223704338
------------------------- test un normalized Main, avg_test_AL_un_norm=0.020970453710847155, avg_test_CL_un_norm=0.020968772283684392, max_test_CL_un_norm=0.03252379223704338
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.02365965735261889, max_test_CL=0.0319337472319603
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.02365965735261889, max_test_CL_un_norm=0.0319337472319603
train epoch=20, loader_type='Both', approx_losses.avg=0.013702351226409277, constraint_losses.avg=0.012241695319861174
------------------------- test Main, avg_test_AL=0.020519635126062738, avg_test_CL=0.020517583830875007, max_test_CL=0.03235746920108795
------------------------- test un normalized Main, avg_test_AL_un_norm=0.020519635126062738, avg_test_CL_un_norm=0.020517583830875007, max_test_CL_un_norm=0.03235746920108795
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.01997563906910795, max_test_CL=0.02651851996779442
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.01997563906910795, max_test_CL_un_norm=0.02651851996779442
train epoch=21, loader_type='Both', approx_losses.avg=0.013706942076981067, constraint_losses.avg=0.014943949686984221
------------------------- test Main, avg_test_AL=0.022223574267858797, avg_test_CL=0.022223480965231766, max_test_CL=0.035503558814525604
------------------------- test un normalized Main, avg_test_AL_un_norm=0.022223574267858797, avg_test_CL_un_norm=0.022223480965231766, max_test_CL_un_norm=0.035503558814525604
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.020539676488793873, max_test_CL=0.02806936204433441
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.020539676488793873, max_test_CL_un_norm=0.02806936204433441
train epoch=22, loader_type='Both', approx_losses.avg=0.012769652525832256, constraint_losses.avg=0.011760130735735098
